post_id,post_datetime,platform,content_type,category,impressions,reach,likes,comments,shares,saves,link_clicks
POST_0001,2023-11-24 09:04:00,Instagram,Video,Product Launch,99164,79297,11652,818,396,838.0,2222
POST_0002,2023-02-27 02:12:00,Instagram,Carousel,Behind the Scenes,24114,15798,3343,528,149,103.0,244
POST_0003,2023-01-13 08:51:00,Facebook,Video,Product Launch,45288,32734,8152,555,411,0.0,687
POST_0004,2023-05-21 16:48:00,Twitter,Reel,User Generated Content,7368,6235,1116,130,79,0.0,71
POST_0005,2023-05-06 13:37:00,Facebook,Image,Promotion/Sale,5564,4936,694,107,35,0.0,63
POST_0006,2023-04-25 22:46:00,Instagram,Reel,Festive/Seasonal,46316,35201,5605,641,181,417.0,625
POST_0007,2023-03-13 15:42:00,Twitter,Image,Product Launch,3614,2843,186,32,15,0.0,108
POST_0008,2023-02-22 21:35:00,Instagram,Reel,Tutorial,144802,115765,42138,2591,1842,957.0,2287
POST_0009,2023-12-13 12:13:00,Instagram,Reel,Tutorial,59399,43907,8777,1058,349,597.0,537
POST_0010,2023-10-07 13:30:00,Facebook,Text,Festive/Seasonal,10252,8643,289,14,25,0.0,269
POST_0011,2023-02-14 14:13:00,Instagram,Text,Behind the Scenes,6535,4833,142,23,10,5.0,57
POST_0012,2023-10-30 07:55:00,Twitter,Carousel,Behind the Scenes,14416,10542,1866,247,171,0.0,254
POST_0013,2023-08-05 17:58:00,Facebook,Story,Promotion/Sale,9313,7360,673,76,44,0.0,168
POST_0014,2023-01-17 08:21:00,Instagram,Reel,Product Launch,30236,20468,2784,369,144,140.0,761
POST_0015,2023-01-16 07:19:00,Facebook,Reel,Festive/Seasonal,62737,44367,6553,574,270,0.0,1681
POST_0016,2023-02-17 03:58:00,Instagram,Carousel,User Generated Content,19054,15402,3041,469,130,223.0,403
POST_0017,2023-04-22 23:00:00,Twitter,Carousel,Festive/Seasonal,4103,3105,589,95,17,0.0,78
POST_0018,2023-04-30 19:13:00,Instagram,Video,Behind the Scenes,59401,41909,5819,546,558,229.0,1071
POST_0019,2023-09-16 17:59:00,Instagram,Reel,Product Launch,44831,39927,7684,880,392,285.0,443
POST_0020,2023-11-05 03:12:00,Facebook,Story,Tutorial,9586,7435,295,25,27,0.0,127
POST_0021,2023-01-14 05:47:00,Twitter,Video,Festive/Seasonal,17329,12312,3232,481,150,0.0,392
POST_0022,2023-10-15 08:07:00,Facebook,Reel,Product Launch,34658,28006,8126,972,295,0.0,981
POST_0023,2023-04-12 00:47:00,Instagram,Story,Behind the Scenes,3572,2849,241,12,15,8.0,83
POST_0024,2023-11-29 08:48:00,Facebook,Reel,Product Launch,29043,23894,5424,931,214,0.0,483
POST_0025,2023-12-26 01:30:00,Instagram,Image,Festive/Seasonal,14644,12510,1267,150,59,32.0,461
POST_0026,2023-10-07 09:58:00,Twitter,Reel,Festive/Seasonal,47380,38296,8225,784,664,0.0,1413
POST_0027,2023-08-03 10:15:00,Instagram,Carousel,Behind the Scenes,24390,16366,1559,260,112,32.0,213
POST_0028,2023-04-23 07:44:00,Instagram,Image,Festive/Seasonal,38679,25190,1597,193,125,94.0,421
POST_0029,2023-08-18 10:38:00,Instagram,Story,Product Launch,6314,5282,437,70,33,23.0,67
POST_0030,2023-10-29 17:45:00,Twitter,Image,Promotion/Sale,4600,3294,235,41,13,,121
POST_0031,2023-05-23 06:13:00,Instagram,Video,Promotion/Sale,38458,30544,6790,511,547,250.0,327
POST_0032,2023-01-04 05:25:00,Twitter,Video,Product Launch,14342,9957,3212,558,302,0.0,210
POST_0033,2023-03-23 14:58:00,Instagram,Reel,Promotion/Sale,103036,88946,18089,1810,1620,705.0,1341
POST_0034,2023-12-24 09:15:00,Twitter,Carousel,User Generated Content,17052,15074,2596,322,95,0.0,428
POST_0035,2023-08-05 17:35:00,Facebook,Reel,Behind the Scenes,36726,30271,9318,901,471,0.0,1037
POST_0036,2023-06-24 12:20:00,Facebook,Text,Behind the Scenes,10479,9082,616,71,40,0.0,308
POST_0037,2023-05-23 14:49:00,Instagram,Carousel,Behind the Scenes,58364,50922,6144,607,224,336.0,564
POST_0038,2023-03-21 07:18:00,Instagram,Image,User Generated Content,34721,27278,2059,261,66,45.0,945
POST_0039,2023-04-21 15:24:00,Twitter,Story,Promotion/Sale,2988,2517,129,16,4,0.0,29
POST_0040,2023-06-22 11:29:00,Instagram,Carousel,Promotion/Sale,19212,15084,2470,356,242,125.0,296
POST_0041,2023-02-22 16:34:00,Twitter,Carousel,Behind the Scenes,5699,3816,288,50,25,0.0,117
POST_0042,2023-02-17 21:41:00,Facebook,Image,Product Launch,21018,14572,918,75,62,0.0,458
POST_0043,2023-07-14 11:22:00,Instagram,Image,Product Launch,15294,12762,1291,167,76,45.0,263
POST_0044,2023-02-19 08:19:00,Facebook,Carousel,Festive/Seasonal,46865,30630,2717,152,89,0.0,1092
POST_0045,2023-07-03 13:16:00,Instagram,Video,User Generated Content,26080,20157,4395,318,265,192.0,573
POST_0046,2023-06-26 02:23:00,Instagram,Reel,Product Launch,56349,37265,8343,1095,544,595.0,1109
POST_0047,2023-11-06 22:32:00,Facebook,Image,User Generated Content,9333,8260,852,85,63,0.0,196
POST_0048,2023-05-16 23:56:00,Instagram,Text,User Generated Content,7062,6252,265,46,24,8.0,75
POST_0049,2023-01-23 08:31:00,Instagram,Reel,Behind the Scenes,41344,30170,10387,550,903,383.0,408
POST_0050,2023-08-24 22:29:00,Twitter,Image,Festive/Seasonal,5113,4127,545,79,47,0.0,76
POST_0051,2023-10-02 17:06:00,Twitter,Story,Promotion/Sale,5383,4831,317,31,26,0.0,97
POST_0052,2023-03-05 11:51:00,Facebook,Image,User Generated Content,11478,9923,884,130,73,0.0,129
POST_0053,2023-07-13 08:46:00,Instagram,Story,Behind the Scenes,31641,23098,2320,233,71,172.0,294
POST_0054,2023-02-10 23:30:00,Instagram,Video,Behind the Scenes,28678,25452,8270,1030,613,387.0,478
POST_0055,2023-10-10 20:48:00,Instagram,Reel,Festive/Seasonal,130380,110548,36496,2257,2357,855.0,2927
POST_0056,2023-05-31 03:53:00,Instagram,Video,User Generated Content,21834,19037,3628,236,145,238.0,543
POST_0057,2023-11-18 09:20:00,Instagram,Image,Product Launch,38286,31645,1766,107,174,74.0,668
POST_0058,2023-11-13 09:58:00,Facebook,Reel,Product Launch,76953,68242,25960,3840,1462,0.0,853
POST_0059,2023-07-05 08:13:00,Facebook,Image,Festive/Seasonal,19466,17063,1001,114,30,0.0,410
POST_0060,2023-10-23 17:23:00,Instagram,Image,Product Launch,8011,5445,322,43,26,17.0,211
POST_0061,2023-04-09 00:20:00,Instagram,Reel,Tutorial,36173,25534,9564,493,936,216.0,937
POST_0062,2023-12-27 20:26:00,Twitter,Reel,Product Launch,24733,22216,3263,398,319,0.0,570
POST_0063,2023-02-05 09:02:00,Twitter,Carousel,Tutorial,19761,15944,2489,416,82,0.0,293
POST_0064,2023-01-24 00:36:00,Facebook,Story,Promotion/Sale,12145,10597,729,95,36,0.0,165
POST_0065,2023-12-05 20:55:00,Facebook,Carousel,Festive/Seasonal,19140,12812,2720,484,214,0.0,334
POST_0066,2023-04-27 19:14:00,Facebook,Image,User Generated Content,13916,11876,1350,96,126,0.0,411
POST_0067,2023-05-29 23:47:00,Facebook,Image,Promotion/Sale,9861,8544,447,23,25,0.0,293
POST_0068,2023-02-10 21:09:00,Instagram,Reel,Tutorial,174602,120057,33627,3346,3291,2371.0,4219
POST_0069,2023-04-30 19:01:00,Twitter,Carousel,Tutorial,6010,3991,784,122,78,0.0,159
POST_0070,2023-02-21 20:16:00,Instagram,Image,Behind the Scenes,26437,22266,3088,495,146,145.0,308
