post_id,post_datetime,platform,content_type,category,impressions,reach,likes,comments,shares,saves,link_clicks,date,year,month,month_name,week,day_of_week,hour,quarter,time_slot,total_engagement,engagement_rate,reach_rate,ctr,performance_tier
POST_0001,2023-11-24 09:04:00,Instagram,Video,Product Launch,99164,79297,11652,818,396,838,2222,2023-11-24,2023,11,Nov,47,Friday,9,4,Morning (6-11),13704,17.28,79.97,2.24,Average
POST_0002,2023-02-27 02:12:00,Instagram,Carousel,Behind the Scenes,24114,15798,3343,528,149,103,244,2023-02-27,2023,2,Feb,9,Monday,2,1,Night (22-5),4123,26.1,65.51,1.01,High Performer
POST_0003,2023-01-13 08:51:00,Facebook,Video,Product Launch,45288,32734,8152,555,411,0,687,2023-01-13,2023,1,Jan,2,Friday,8,1,Morning (6-11),9118,27.85,72.28,1.52,High Performer
POST_0004,2023-05-21 16:48:00,Twitter,Reel,User Generated Content,7368,6235,1116,130,79,0,71,2023-05-21,2023,5,May,20,Sunday,16,2,Afternoon (12-16),1325,21.25,84.62,0.96,Average
POST_0005,2023-05-06 13:37:00,Facebook,Image,Promotion/Sale,5564,4936,694,107,35,0,63,2023-05-06,2023,5,May,18,Saturday,13,2,Afternoon (12-16),836,16.94,88.71,1.13,Average
POST_0006,2023-04-25 22:46:00,Instagram,Reel,Festive/Seasonal,46316,35201,5605,641,181,417,625,2023-04-25,2023,4,Apr,17,Tuesday,22,2,Night (22-5),6844,19.44,76.0,1.35,Average
POST_0007,2023-03-13 15:42:00,Twitter,Image,Product Launch,3614,2843,186,32,15,0,108,2023-03-13,2023,3,Mar,11,Monday,15,1,Afternoon (12-16),233,8.2,78.67,2.99,Needs Improvement
POST_0008,2023-02-22 21:35:00,Instagram,Reel,Tutorial,144802,115765,42138,2591,1842,957,2287,2023-02-22,2023,2,Feb,8,Wednesday,21,1,Evening (17-21),47528,41.06,79.95,1.58,High Performer
POST_0009,2023-12-13 12:13:00,Instagram,Reel,Tutorial,59399,43907,8777,1058,349,597,537,2023-12-13,2023,12,Dec,50,Wednesday,12,4,Afternoon (12-16),10781,24.55,73.92,0.9,High Performer
POST_0012,2023-10-30 07:55:00,Twitter,Carousel,Behind the Scenes,14416,10542,1866,247,171,0,254,2023-10-30,2023,10,Oct,44,Monday,7,4,Morning (6-11),2284,21.67,73.13,1.76,Average
POST_0013,2023-08-05 17:58:00,Facebook,Story,Promotion/Sale,9313,7360,673,76,44,0,168,2023-08-05,2023,8,Aug,31,Saturday,17,3,Evening (17-21),793,10.77,79.03,1.8,Average
POST_0014,2023-01-17 08:21:00,Instagram,Reel,Product Launch,30236,20468,2784,369,144,140,761,2023-01-17,2023,1,Jan,3,Tuesday,8,1,Morning (6-11),3437,16.79,67.69,2.52,Average
POST_0015,2023-01-16 07:19:00,Facebook,Reel,Festive/Seasonal,62737,44367,6553,574,270,0,1681,2023-01-16,2023,1,Jan,3,Monday,7,1,Morning (6-11),7397,16.67,70.72,2.68,Average
POST_0016,2023-02-17 03:58:00,Instagram,Carousel,User Generated Content,19054,15402,3041,469,130,223,403,2023-02-17,2023,2,Feb,7,Friday,3,1,Night (22-5),3863,25.08,80.83,2.12,High Performer
POST_0017,2023-04-22 23:00:00,Twitter,Carousel,Festive/Seasonal,4103,3105,589,95,17,0,78,2023-04-22,2023,4,Apr,16,Saturday,23,2,Night (22-5),701,22.58,75.68,1.9,Average
POST_0018,2023-04-30 19:13:00,Instagram,Video,Behind the Scenes,59401,41909,5819,546,558,229,1071,2023-04-30,2023,4,Apr,17,Sunday,19,2,Evening (17-21),7152,17.07,70.55,1.8,Average
POST_0019,2023-09-16 17:59:00,Instagram,Reel,Product Launch,44831,39927,7684,880,392,285,443,2023-09-16,2023,9,Sep,37,Saturday,17,3,Evening (17-21),9241,23.14,89.06,0.99,Average
POST_0020,2023-11-05 03:12:00,Facebook,Story,Tutorial,9586,7435,295,25,27,0,127,2023-11-05,2023,11,Nov,44,Sunday,3,4,Night (22-5),347,4.67,77.56,1.32,Needs Improvement
POST_0021,2023-01-14 05:47:00,Twitter,Video,Festive/Seasonal,17329,12312,3232,481,150,0,392,2023-01-14,2023,1,Jan,2,Saturday,5,1,Night (22-5),3863,31.38,71.05,2.26,High Performer
